top - 14:14:31 up 57 min,  1 user,  load average: 0.02, 0.01, 0.00
Tasks: 201 total,   1 running, 193 sleeping,   7 stopped,   0 zombie
%Cpu(s):  0.0 us, 50.0 sy,  0.0 ni, 50.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15963.3 total,  14126.4 free,   1231.1 used,    899.3 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  14732.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2929 4majkutb  20   0    7816   5800   4932 S   0.0   0.0   0:00.08 ssh-age+
   3060 4majkutb  20   0   21032   6512   3684 S   0.0   0.0   0:00.56 bash
   3143 4majkutb  20   0   26448   9708   5948 S   0.0   0.1   0:00.17 vim
   3627 root      20   0       0      0      0 I   0.0   0.0   0:00.17 kworker+
   4156 4majkutb  20   0    8136    920    832 T   0.0   0.0   0:00.00 cat
   4676 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5006 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker+
   5247 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
   5527 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
   6364 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
   6365 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6639 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6716 4majkutb  20   0   10796   3972   2740 T   0.0   0.0   0:00.00 man
   6724 4majkutb  20   0    8372   1224   1092 T   0.0   0.0   0:00.00 pager
   6898 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6919 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7069 4majkutb  20   0   23224   5512   3396 T   0.0   0.0   0:00.01 top
   7077 4majkutb  20   0   23224   5420   3308 T   0.0   0.0   0:00.01 top
   7099 4majkutb  20   0   23224   5476   3360 T   0.0   0.0   0:00.01 top
   7108 4majkutb  20   0   23224   5416   3304 T   0.0   0.0   0:00.01 top
